"moment-coef-rfile"
"Iteration" "moment-coef"
("Iteration" "moment-coef")
10 0.05565164
20 0.0732764
30 0.06663646
40 0.05819231
50 0.04953051
60 0.04427956
70 0.04102094
80 0.0378094
90 0.035878
100 0.03683916
110 0.03828448
120 0.03936321
130 0.04004111
140 0.04026802
150 0.04017858
160 0.0398926
170 0.03956541
180 0.03927378
190 0.03904592
200 0.03889989
210 0.03884527
220 0.03886754
230 0.03893824
240 0.03903714
250 0.03914808
260 0.03928147
270 0.03942657
280 0.03958082
290 0.03974499
300 0.03992026
310 0.04009454
320 0.04028936
330 0.04048478
340 0.04069816
350 0.0409098
360 0.04112715
370 0.04134742
380 0.0415675
390 0.04178917
400 0.04200706
410 0.04222268
420 0.0424231
430 0.0426345
440 0.04282353
450 0.04301877
460 0.04320665
470 0.04338783
480 0.04356258
490 0.04373081
500 0.04389712
510 0.04404524
520 0.0441915
530 0.0443313
540 0.04445291
550 0.04457323
560 0.04468772
570 0.0447927
580 0.04489319
590 0.04497804
600 0.04506036
610 0.04513766
620 0.04520836
630 0.04527481
640 0.04533421
650 0.04539094
660 0.04544177
