"drag-coef-rfile"
"Iteration" "drag-coef"
("Iteration" "drag-coef")
10 0.05536901
20 0.0277404
30 0.01851108
40 0.01419666
50 0.01234354
60 0.01175472
70 0.01149577
80 0.01140709
90 0.01138895
100 0.01132268
110 0.01120609
120 0.01106364
130 0.01091665
140 0.01077739
150 0.01065324
160 0.01054912
170 0.01046634
180 0.01040199
190 0.0103525
200 0.01031395
210 0.01028314
220 0.01025801
230 0.01023683
240 0.01021919
250 0.01020397
260 0.01019096
270 0.01018004
280 0.01017049
290 0.01016229
300 0.01015565
310 0.01014989
