"moment-coef-rfile"
"Iteration" "moment-coef"
("Iteration" "moment-coef")
10 0.06481696
20 0.08572511
30 0.0770084
40 0.06707622
50 0.05896985
60 0.05883976
70 0.06677213
80 0.07861326
90 0.09089082
100 0.08043654
110 0.01355365
120 0.02147114
130 0.05447309
140 0.04498901
150 0.046301
160 0.04494557
170 0.04682861
180 0.04821254
190 0.04933234
200 0.04931525
210 0.04807795
220 0.04714415
230 0.04694331
240 0.04712057
250 0.04675681
260 0.04587161
270 0.04517903
280 0.04471853
290 0.0441565
300 0.04347457
310 0.04289318
320 0.04237308
330 0.04189973
340 0.0414547
350 0.04103999
360 0.04062089
370 0.04023822
380 0.03985718
390 0.03948458
400 0.03907304
410 0.03872252
420 0.0383951
430 0.03807467
440 0.0377454
450 0.03740853
460 0.03705066
470 0.0367041
480 0.03635897
490 0.03601853
500 0.03567798
510 0.03536773
520 0.03506723
530 0.03481345
540 0.0345524
550 0.03431507
560 0.03407071
570 0.0338603
580 0.0336685
590 0.03346905
600 0.03331374
610 0.03315446
620 0.03297666
630 0.03278763
640 0.03262617
650 0.03249521
660 0.03240094
670 0.03230909
680 0.03222339
690 0.03218137
700 0.03213893
710 0.03211072
720 0.03209469
730 0.03209771
740 0.03209484
750 0.0321222
760 0.03217406
770 0.03224706
780 0.03231202
790 0.03241092
800 0.03251928
810 0.03262988
820 0.03276615
830 0.03291327
840 0.03307665
850 0.0332463
860 0.03340636
870 0.03359957
880 0.03377985
890 0.0339944
900 0.03420104
910 0.0344069
920 0.03463722
930 0.03485666
940 0.03509163
950 0.03528906
960 0.0355228
970 0.03574238
980 0.0359694
990 0.0361746
1000 0.03641856
1010 0.03660087
1020 0.03680485
1030 0.03700858
1040 0.03718441
1050 0.03735632
1060 0.03753651
1070 0.03769736
1080 0.03784628
1090 0.03797615
1100 0.03812478
1110 0.03825223
1120 0.03835186
1130 0.03847672
1140 0.03857632
1150 0.03865746
1160 0.03876665
1170 0.03884811
1180 0.03891498
1190 0.0390052
1200 0.03908017
1210 0.03914364
1220 0.03920569
1230 0.03927942
1240 0.03931897
1250 0.03937278
1260 0.03944463
1270 0.03948059
1280 0.03951971
1290 0.03958384
1300 0.03962199
1310 0.03965083
1320 0.03970358
1330 0.0397484
1340 0.03977286
1350 0.03980916
1360 0.03985982
1370 0.0398828
1380 0.03990538
1390 0.03995086
1400 0.03998244
1410 0.03999568
1420 0.04003058
1430 0.04006547
1440 0.04007706
1450 0.04009877
1460 0.04013822
1470 0.04015266
1480 0.0401628
1490 0.04019775
1500 0.04022022
1510 0.04022718
1520 0.04025025
1530 0.04027844
1540 0.04028438
1550 0.0402939
1560 0.04032644
1570 0.0403381
1580 0.04034002
1590 0.04036312
1600 0.04038488
1610 0.0403835
1620 0.04039545
1630 0.04042247
1640 0.0404235
1650 0.04042567
1660 0.04045095
1670 0.04046044
1680 0.04045587
1690 0.04047395
1700 0.04049211
1710 0.0404874
1720 0.04049396
1730 0.04051697
1740 0.04051434
1750 0.04051147
1760 0.04053381
1770 0.04054089
1780 0.04053448
1790 0.04054582
1800 0.04056248
1810 0.04055547
1820 0.0405558
1830 0.04057684
1840 0.04057578
1850 0.04056839
1860 0.04058406
1870 0.04059351
1880 0.0405849
1890 0.04059087
1900 0.04060829
1910 0.04060068
1920 0.04059687
1930 0.04061613
1940 0.04061616
1950 0.04060717
1960 0.04061786
1970 0.04062929
1980 0.04061789
1990 0.04061953
2000 0.04063842
2010 0.04063218
2020 0.04062412
2030 0.04064106
2040 0.04064239
2050 0.04063133
2060 0.04064021
2070 0.0406527
2080 0.04064137
2090 0.04064209
2100 0.04065647
2110 0.04065181
2120 0.04064028
2130 0.04065673
2140 0.04066095
2150 0.04064796
2160 0.04065472
2170 0.04066775
2180 0.04065625
2190 0.04065293
2200 0.04067021
2210 0.04066654
2220 0.04065534
2230 0.0406668
2240 0.04067335
2250 0.04066053
2260 0.04066431
2270 0.04067782
2280 0.04066689
2290 0.04066038
2300 0.04067773
2310 0.04067506
2320 0.04066241
2330 0.04067154
2340 0.04068206
2350 0.04066772
2360 0.0406686
2370 0.04068483
