"drag-coef-rfile"
"Iteration" "drag-coef"
("Iteration" "drag-coef")
10 0.1518652
20 0.142255
30 0.1255632
40 0.1075125
50 0.09305658
60 0.08532609
70 0.08443904
80 0.08718523
90 0.09161615
100 0.08543169
110 0.04906385
120 0.04758497
130 0.06798565
140 0.06505662
150 0.06630341
160 0.06640181
170 0.06690256
180 0.06724414
190 0.06697375
200 0.06599382
210 0.06414282
220 0.06240592
230 0.06118579
240 0.06030688
250 0.05928574
260 0.05803061
270 0.0569101
280 0.05599688
290 0.05513242
300 0.05423379
310 0.05343098
320 0.0527011
330 0.05202698
340 0.05137705
350 0.05075419
360 0.05011432
370 0.04949519
380 0.04886506
390 0.04823582
400 0.04757559
410 0.04694166
420 0.0463298
430 0.04571595
440 0.04510045
450 0.04447491
460 0.04384631
470 0.04322325
480 0.04260555
490 0.0419913
500 0.0413951
510 0.0408436
520 0.04027509
530 0.03975209
540 0.03922011
550 0.0387532
560 0.03821953
570 0.03774645
580 0.03731082
590 0.03684718
600 0.03645027
610 0.03603457
620 0.03563252
630 0.03521116
640 0.03480304
650 0.03445181
660 0.03410603
670 0.03377075
680 0.03343898
690 0.03314704
700 0.03287845
710 0.03259802
720 0.03229744
730 0.03207013
740 0.03180828
750 0.03154574
760 0.0313203
770 0.03111959
780 0.03095264
790 0.03072535
800 0.03058062
810 0.0303886
820 0.03023731
830 0.03008326
840 0.02991419
850 0.02976728
860 0.02961566
870 0.02949938
880 0.02937999
890 0.02925318
900 0.02919401
910 0.02904372
920 0.02892882
930 0.02887742
940 0.02878078
950 0.02865778
960 0.02857527
970 0.02852108
980 0.02838854
990 0.02832621
1000 0.02828206
1010 0.02816714
1020 0.028091
1030 0.02806355
1040 0.02794206
1050 0.02788226
1060 0.02785467
1070 0.02775789
1080 0.02763982
1090 0.02760936
1100 0.02757058
1110 0.02743757
1120 0.02740843
1130 0.02737715
1140 0.02726718
1150 0.02720855
1160 0.02721288
1170 0.02710898
1180 0.02704692
1190 0.02706209
1200 0.02700372
1210 0.02685655
1220 0.02688826
1230 0.02690987
1240 0.02676958
1250 0.0268066
1260 0.02679596
1270 0.02668187
1280 0.02671235
1290 0.0267169
1300 0.02663163
1310 0.02657179
1320 0.02661525
1330 0.02661137
1340 0.02649326
1350 0.02652678
1360 0.02655132
1370 0.02645758
1380 0.02648514
1390 0.02650423
1400 0.02644856
1410 0.02638461
1420 0.02642013
1430 0.02643908
1440 0.02632973
1450 0.02638255
1460 0.02639518
1470 0.02631305
1480 0.02633042
1490 0.02636644
1500 0.0263279
1510 0.02624953
1520 0.02629249
1530 0.02631835
1540 0.02622242
1550 0.02626551
1560 0.02629426
1570 0.02623255
1580 0.02620986
1590 0.02628013
1600 0.02625294
1610 0.02616257
1620 0.02620743
1630 0.02623927
1640 0.02615801
1650 0.02620068
1660 0.02622977
1670 0.02617511
1680 0.02613782
1690 0.02618844
1700 0.02620781
1710 0.02610986
1720 0.02615477
1730 0.02619145
1740 0.02611686
1750 0.0261542
1760 0.02618935
1770 0.02615184
1780 0.02609589
1790 0.02614292
1800 0.02617886
1810 0.02607952
1820 0.02613203
1830 0.0261616
1840 0.02609731
1850 0.026109
1860 0.02616347
1870 0.02613414
1880 0.02605755
1890 0.02611036
1900 0.02613767
1910 0.02606693
1920 0.0261047
1930 0.02614004
1940 0.02608692
1950 0.02606431
1960 0.02611904
1970 0.0261277
1980 0.02603743
1990 0.02608537
2000 0.02612486
2010 0.02604889
2020 0.02609587
2030 0.02613501
2040 0.02608715
2050 0.02603898
2060 0.02609538
2070 0.02612576
2080 0.02602786
2090 0.02607856
2100 0.02611313
2110 0.02604586
2120 0.0260783
2130 0.02612108
2140 0.02608809
2150 0.02603332
2160 0.0260851
2170 0.02611293
2180 0.02602262
2190 0.02608072
2200 0.02611199
2210 0.02605146
2220 0.02604078
2230 0.02611768
2240 0.02609518
2250 0.02601661
2260 0.02607138
2270 0.02609862
2280 0.0260288
2290 0.02606981
2300 0.02610875
2310 0.02605446
2320 0.02603362
2330 0.02608863
2340 0.02609997
2350 0.0260113
2360 0.02606135
2370 0.02610154
