"moment-rfile"
"Iteration" "moment"
("Iteration" "moment")
10 7.993101
20 8.148558
30 8.724133
40 9.683645
50 10.58371
60 11.03195
70 10.92422
80 10.64302
90 10.36491
100 10.10583
110 9.970476
120 9.914945
130 9.888798
140 9.881768
150 9.88092
160 9.873312
170 9.85685
180 9.833897
190 9.805729
200 9.778257
210 9.752701
220 9.730427
230 9.711161
240 9.694418
250 9.679558
260 9.666235
270 9.654837
280 9.644136
