"moment-coef-rfile"
"Iteration" "moment-coef"
("Iteration" "moment-coef")
10 0.0408201
20 0.04161401
30 0.04455342
40 0.04945357
50 0.05405011
60 0.05633924
70 0.0557891
80 0.05435304
90 0.05293273
100 0.05160965
110 0.05091839
120 0.0506348
130 0.05050127
140 0.05046537
150 0.05046104
160 0.05042218
170 0.05033811
180 0.05022089
190 0.05007704
200 0.04993675
210 0.04980623
220 0.04969248
230 0.04959409
240 0.04950859
250 0.04943269
260 0.04936466
270 0.04930645
280 0.0492518
