"lift-force-rfile"
"Iteration" "lift-force"
("Iteration" "lift-force")
10 -0.5258961
20 -4.178074
30 -5.048754
40 -3.291248
50 -0.8230553
60 0.9258709
70 1.14259
80 0.5948009
90 -0.1210155
100 -0.9964485
110 -1.700476
120 -2.177059
130 -2.525373
140 -2.753887
150 -2.91222
160 -3.045889
170 -3.180595
180 -3.325245
190 -3.488108
200 -3.647854
210 -3.803339
220 -3.948772
230 -4.08222
240 -4.203733
250 -4.314669
260 -4.41717
270 -4.506935
280 -4.589281
